Composition,Eg,class,avg_Atomic number,avg_Atomic weight,avg_Period number,avg_Group number,avg_Family number,avg_L quantum number,avg_Mendeleev number,avg_Atomic radius (?),avg_Covalent radius (?),avg_Zunger radius (?),avg_Ionic radius (?),avg_Crystal radius (?),avg_Pauling EN,avg_Martynov-Batsanov EN,avg_Gordy EN,avg_Mulliken EN,avg_Allen EN,avg_Metallic valence,avg_Number of valence electrons,avg_Number of s electrons,avg_Number of p electrons,avg_Number of d electrons,avg_Number of outer shell electrons,avg_First ionization energy (kJ/mol),avg_Polarizability,avg_Melting point (K),avg_Boiling point (K),avg_Density (g/mL),avg_Specific heat (J/g?K),avg_Heat of fusion (kJ/mol),avg_Heat of vaporization (kJ/mol),avg_Thermal conductivity (W/m?K),avg_Heat atomization (kJ/mol),avg_Cohesive energy (eV),diff_Atomic number,diff_Atomic weight,diff_Period number,diff_Group number,diff_Family number,diff_L quantum number,diff_Mendeleev number,diff_Atomic radius (?),diff_Covalent radius (?),diff_Zunger radius (?),diff_Ionic radius (?),diff_Crystal radius (?),diff_Pauling EN,diff_Martynov-Batsanov EN,diff_Gordy EN,diff_Mulliken EN,diff_Allen EN,diff_Metallic valence,diff_Number of valence electrons,diff_Number of s electrons,diff_Number of p electrons,diff_Number of d electrons,diff_Number of outer shell electrons,diff_First ionization energy (kJ/mol),diff_Polarizability,diff_Melting point (K),diff_Boiling point (K),diff_Density (g/mL),diff_Specific heat (J/g?K),diff_Heat of fusion (kJ/mol),diff_Heat of vaporization (kJ/mol),diff_Thermal conductivity (W/m?K),diff_Heat atomization (kJ/mol),diff_Cohesive energy (eV),max_Atomic number,max_Atomic weight,max_Period number,max_Group number,max_Family number,max_L quantum number,max_Mendeleev number,max_Atomic radius (?),max_Covalent radius (?),max_Zunger radius (?),max_Ionic radius (?),max_Crystal radius (?),max_Pauling EN,max_Martynov-Batsanov EN,max_Gordy EN,max_Mulliken EN,max_Allen EN,max_Metallic valence,max_Number of valence electrons,max_Number of s electrons,max_Number of p electrons,max_Number of d electrons,max_Number of outer shell electrons,max_First ionization energy (kJ/mol),max_Polarizability,max_Melting point (K),max_Boiling point (K),max_Density (g/mL),max_Specific heat (J/g?K),max_Heat of fusion (kJ/mol),max_Heat of vaporization (kJ/mol),max_Thermal conductivity (W/m?K),max_Heat atomization (kJ/mol),max_Cohesive energy (eV),min_Atomic number,min_Atomic weight,min_Period number,min_Group number,min_Family number,min_L quantum number,min_Mendeleev number,min_Atomic radius (?),min_Covalent radius (?),min_Zunger radius (?),min_Ionic radius (?),min_Crystal radius (?),min_Pauling EN,min_Martynov-Batsanov EN,min_Gordy EN,min_Mulliken EN,min_Allen EN,min_Metallic valence,min_Number of valence electrons,min_Number of s electrons,min_Number of p electrons,min_Number of d electrons,min_Number of outer shell electrons,min_First ionization energy (kJ/mol),min_Polarizability,min_Melting point (K),min_Boiling point (K),min_Density (g/mL),min_Specific heat (J/g?K),min_Heat of fusion (kJ/mol),min_Heat of vaporization (kJ/mol),min_Thermal conductivity (W/m?K),min_Heat atomization (kJ/mol),min_Cohesive energy (eV),
Ag2BBr,0,0,33.5,76.61285,4,13,5.5,0.5,74.25,1.3,1.16,1.68625,1.3,1.1625,2.215,1.7175,4.67685,5.19,2.119,3.47,8,1.5,1.5,5,3,850.75,5.475,1272.1,2031.35,6.615,0.49075,19.5215,251.5745,221.2805,313.25,3.2325,42,97.0572,3,6,4,1,30,0.75,0.52,1.58,0.75,1.57,1.03,1.76,2.5557,3.3,0.815,5.44,8,1,5,10,6,409,4.9,2086.2,2491.2,8.16,0.785,44.914,474.262,428.878,461,4.59,47,107.8682,5,17,8,1,95,1.6,1.34,2.375,1.6,1.82,2.96,2.83,6.4079,7.59,2.685,5.44,11,2,5,10,7,1140,7.9,2352.15,2823.15,10.5,1.02,50.2,489.7,429,573,5.81,5,10.811,2,11,4,0,65,0.85,0.82,0.795,0.85,0.25,1.93,1.07,3.8522,4.29,1.87,0,3,1,0,0,1,731,3,265.95,331.95,2.34,0.235,5.286,15.438,0.122,112,1.22,
Ag2BiO3,0,0,33.5,78.78582833,3.666666667,14.16666667,5.666666667,0.666666667,79.5,1.1,1.055,1.357,1.1,1.23,2.7,2.373333333,6.274016667,6.031666667,2.763333333,2.313333333,7.5,1.666666667,2.5,5,4.166666667,1017.833333,4.263166667,529.7833333,1178.983333,5.125715,0.558333333,5.761295,102.6982833,144.3250367,253.6666667,2.656666667,75,192.98097,4,5,3,1,22,1,0.73,1.91,1,0.12,1.51,2.25,4.5181,3.1,1.74,5.44,6,1,4,10,5,611,7.107,1180.4,2395,10.49857,0.8,11.07741,247.1701,428.97326,77,0.77,83,208.98037,6,16,7,1,87,1.6,1.46,2.375,1.6,1.29,3.44,3.32,8.3703,7.54,3.61,5.44,11,2,4,10,6,1314,7.9,1235.15,2485.15,10.5,0.92,11.3,250.58,429,284,2.95,8,15.9994,2,11,4,0,65,0.6,0.73,0.465,0.6,1.17,1.93,1.07,3.8522,4.44,1.87,0,5,1,0,0,1,703,0.793,54.75,90.15,0.00143,0.12,0.22259,3.4099,0.02674,207,2.18,
Ag2CdGeS4,2.32,1,29.75,66.127675,3.875,14,5.75,0.625,78.875,1.25,1.1825,1.615625,1.25,0.71875,2.235,2.01625,4.9558625,5.33625,2.20125,3.415,7.75,1.75,2.25,3.75,4,886.5,5.0875,728.5875,1497.875,5.40625,0.4825,9.07525,121.35375,126.972,271.625,2.78875,32,80.345,2,5,3,1,23,0.6,0.46,1.275,0.6,0.86,0.89,1.58,1.9936,1.89,1.069,3.44,8,1,4,10,5,269,5,849.2,2385.3,8.43,0.48,35.2225,321.1,428.731,265,2.69,48,112.411,5,16,7,1,88,1.6,1.48,2.375,1.6,1.29,2.58,2.65,5.8458,6.22,2.589,5.44,12,2,4,10,6,1000,7.9,1235.15,3103.15,10.5,0.71,36.94,330.9,429,377,3.85,16,32.066,3,11,4,0,65,1,1.02,1.1,1,0.43,1.69,1.07,3.8522,4.33,1.52,2,4,1,0,0,1,731,2.9,385.95,717.85,2.07,0.23,1.7175,9.8,0.269,112,1.16,
Ag2CdP2S6,2.49,1,24.36363636,52.95372036,3.545454545,14.54545455,6.181818182,0.727272727,81.27272727,1.159090909,1.127272727,1.458636364,1.159090909,0.609090909,2.31,2.189090909,5.146918182,5.615454545,2.3,3.029090909,7.272727273,1.818181818,2.727272727,2.727272727,4.545454545,941.2727273,4.327272727,546.7772727,1038.35,4.155454545,0.590909091,3.673727273,62.16254545,86.98945455,271.2727273,2.82,33,81.437238,2,5,3,1,23,0.6,0.46,1.275,0.6,0.98,0.89,1.58,1.9936,1.89,1.069,3.44,7,1,4,10,5,281,5,917.9,1932,8.68,0.54,10.643,240.78,428.765,203,2.27,48,112.411,5,16,7,1,88,1.6,1.48,2.375,1.6,1.29,2.58,2.65,5.8458,6.22,2.589,5.44,12,2,4,10,6,1012,7.9,1235.15,2485.15,10.5,0.77,11.3,250.58,429,315,3.43,15,30.973762,3,11,4,0,65,1,1.02,1.1,1,0.31,1.69,1.07,3.8522,4.33,1.52,2,5,1,0,0,1,731,2.9,317.25,553.15,1.82,0.23,0.657,9.8,0.235,112,1.16,
Ag2Ga2SiS6,2.35,1,24.18181818,52.33308182,3.545454545,14.36363636,6,0.818181818,80.36363636,1.172727273,1.13,1.469090909,1.172727273,0.643636364,2.26,2.129090909,5.027163636,5.215454545,2.245636364,3.069090909,6.181818182,1.818181818,2.545454545,1.818181818,4.363636364,855.1818182,4.981818182,643.1863636,1568.895455,4.322727273,0.561818182,8.603181818,132.8709091,98.98309091,296.9090909,3.022727273,33,79.7827,2,5,3,1,23,0.6,0.32,1.275,0.6,0.89,0.77,1.58,1.9936,3.02,0.833,3.44,8,1,4,10,5,421,5.2,1380.2,1958.3,8.43,0.475,48.8325,374.42,428.731,173,1.82,47,107.8682,5,16,7,1,88,1.6,1.34,2.375,1.6,1.29,2.58,2.65,5.8458,6.22,2.589,5.44,11,2,4,10,6,1000,8.1,1683.15,2676.15,10.5,0.71,50.55,384.22,429,452,4.63,14,28.0855,3,11,4,0,65,1,1.02,1.1,1,0.4,1.81,1.07,3.8522,3.2,1.756,2,3,1,0,0,1,579,2.9,302.95,717.85,2.07,0.235,1.7175,9.8,0.269,279,2.81,
Ag2GeS3,1.98,1,29,64.09073333,3.833333333,14,5.833333333,0.666666667,78.83333333,1.241666667,1.16,1.601666667,1.241666667,0.733333333,2.268333333,2.013333333,4.9804,5.356666667,2.250166667,3.48,7.333333333,1.666666667,2.333333333,3.333333333,4,870.6666667,5.1,808.1166667,1704.5,5.421666667,0.486666667,10.78208333,143.5766667,153.1178333,297,3.05,31,75.8022,2,5,3,1,23,0.6,0.32,1.275,0.6,0.86,0.65,1.58,1.9936,1.78,0.719,3.44,7,1,4,10,5,269,5,849.2,2385.3,8.43,0.475,35.2225,321.1,428.731,98,1,47,107.8682,5,16,7,1,88,1.6,1.34,2.375,1.6,1.29,2.58,2.65,5.8458,6.22,2.589,5.44,11,2,4,10,6,1000,7.9,1235.15,3103.15,10.5,0.71,36.94,330.9,429,377,3.85,16,32.066,3,11,4,0,65,1,1.02,1.1,1,0.43,1.93,1.07,3.8522,4.44,1.87,2,4,1,0,0,1,731,2.9,385.95,717.85,2.07,0.235,1.7175,9.8,0.269,279,2.85,
Ag2GeSe3,0.91,1,38,87.53773333,4.333333333,14,5.833333333,0.666666667,79.33333333,1.316666667,1.23,1.694166667,1.316666667,0.798333333,2.253333333,1.958333333,4.938,5.191666667,2.172666667,3.48,7.333333333,1.666666667,2.333333333,3.333333333,4,841.1666667,5.55,860.2166667,1824.65,6.781666667,0.291666667,13.27033333,157.5266667,154.0033333,271,2.855,15,35.2582,1,5,3,1,24,0.45,0.18,1.09,0.45,0.76,0.62,1.47,1.9088,1.45,0.564,3.44,7,1,4,10,5,210,4.1,745,2145,5.71,0.085,30.246,293.2,426.96,150,1.39,47,107.8682,5,16,7,1,89,1.6,1.34,2.375,1.6,1.29,2.55,2.54,5.761,5.89,2.434,5.44,11,2,4,10,6,941,7.9,1235.15,3103.15,10.5,0.32,36.94,330.9,429,377,3.85,32,72.61,4,11,4,0,65,1.15,1.16,1.285,1.15,0.53,1.93,1.07,3.8522,4.44,1.87,2,4,1,0,0,1,731,3.8,490.15,958.15,4.79,0.235,6.694,37.7,2.04,227,2.46,
Ag2GeTe3,0.07,1,47,111.8577333,4.833333333,14,5.333333333,0.666666667,79.83333333,1.441666667,1.33,1.886666667,1.441666667,1.073333333,2.028333333,1.878333333,4.7784,4.991666667,2.034666667,3.48,7.333333333,1.666666667,2.333333333,8.333333333,2,805.1666667,6.4,976.4666667,1977.05,7.506666667,0.231666667,18.66833333,164.9516667,154.1583333,256,2.72,20,54.99,1,5,2,1,25,0.35,0.14,0.815,0.35,0.76,0.17,1.31,1.5896,1.05,0.288,3.44,7,1,4,10,3,138,2.4,512.5,1840.2,5.18,0.12,25.64,278.35,426.65,180,1.66,52,127.6,5,16,6,1,90,1.6,1.36,2.375,1.6,1.29,2.1,2.38,5.4418,5.49,2.158,5.44,11,2,4,10,4,869,7.9,1235.15,3103.15,10.5,0.32,36.94,330.9,429,377,3.85,32,72.61,4,11,4,0,65,1.25,1.22,1.56,1.25,0.53,1.93,1.07,3.8522,4.44,1.87,2,4,1,0,0,1,731,5.5,722.65,1262.95,5.32,0.2,11.3,52.55,2.35,197,2.19,
Ag2HgI4,2.47,1,55.14285714,131.99204,5.142857143,14.57142857,6.285714286,0.857142857,83.57142857,1.471428571,1.355714286,1.928571429,1.471428571,1.664285714,2.357142857,2.095714286,5.668414286,5.832857143,2.133714286,2.188571429,8.857142857,1.714285714,2.857142857,10,4.571428571,928.7142857,5.885714286,607.3071429,1061.292857,7.745714286,0.209285714,8.027285714,91.91385714,124.0194286,151,1.572857143,33,92.7218,1,6,4,2,31,0.2,0.16,0.825,0.2,1.23,0.73,1.69,4.3947,2.32,0.599,5.44,5,1,5,0,6,277,2.9,1000.9,2028,8.57,0.096,9.005,229.828,428.551,223,2.28,80,200.59,6,17,8,2,96,1.6,1.49,2.41,1.6,2.06,2.66,2.76,8.2469,6.76,2.359,5.44,12,2,5,10,7,1008,7.9,1235.15,2485.15,13.5,0.235,11.3,250.58,429,284,2.95,47,107.8682,5,11,4,0,65,1.4,1.33,1.585,1.4,0.83,1.93,1.07,3.8522,4.44,1.76,0,7,1,0,10,1,731,5,234.25,457.15,4.93,0.139,2.295,20.752,0.449,61,0.67,
Ag2MoI4O14,3.06,1,21.9047619,49.68028,3,15.23809524,6.761904762,0.952380952,84.85714286,0.888095238,0.92952381,0.967619048,0.888095238,1.35952381,3.086666667,2.933333333,7.246238095,6.922857143,3.104095238,0.793333333,6.666666667,1.857142857,3.619047619,3.095238095,5.476190476,1170.190476,2.842952381,365.4071429,616.4833333,2.425715238,0.688380952,4.238679048,58.56698095,47.5319219,244.7619048,2.563809524,45,110.90507,3,11,4,2,46,1,0.61,2.255,1,1.27,1.51,2.25,4.8155,3.64,2.14,5.78,5,1,5,10,6,630,12.007,2835.4,4795,10.49857,0.706,31.77741,594.5901,428.97326,551,5.71,53,126.90447,5,17,8,2,96,1.6,1.34,2.72,1.6,2.06,3.44,3.32,8.3703,7.54,3.61,5.78,11,2,5,10,7,1314,12.8,2890.15,4885.15,10.5,0.92,32,598,429,658,6.82,8,15.9994,2,6,4,0,50,0.6,0.73,0.465,0.6,0.79,1.93,1.07,3.5548,3.9,1.47,0,6,1,0,0,1,684,0.793,54.75,90.15,0.00143,0.214,0.22259,3.4099,0.02674,107,1.11,
